fold,train_size,test_size,n_selected,selected_indices,accuracy,classification_error,f1_score
1,55.0,7.0,14.0,"13,137,244,266,285,376,492,512,963,1041,1220,1345,1634,1883",1.0,0.0,1.0
2,55.0,7.0,14.0,"30,142,439,558,560,738,805,1001,1041,1581,1633,1771,1842,1872",0.7142857142857143,0.2857142857142857,0.6666666666666666
3,56.0,6.0,14.0,"13,137,244,248,266,364,376,492,570,764,779,1634,1770,1872",0.8333333333333334,0.16666666666666663,0.8
4,56.0,6.0,14.0,"42,136,410,512,575,697,963,1465,1634,1771,1797,1835,1886,1959",1.0,0.0,1.0
5,56.0,6.0,14.0,"46,188,390,398,410,488,1313,1333,1559,1633,1678,1771,1892,1937",0.8333333333333334,0.16666666666666663,0.8
6,56.0,6.0,14.0,"25,248,266,285,376,492,560,811,896,1324,1422,1581,1770,1771",0.6666666666666666,0.33333333333333337,0.5
7,56.0,6.0,14.0,"364,376,418,512,626,779,1059,1259,1559,1658,1667,1770,1771,1883",1.0,0.0,1.0
8,56.0,6.0,14.0,"13,285,376,580,801,811,1209,1410,1422,1729,1883,1891,1916,1959",0.6666666666666666,0.33333333333333337,0.0
9,56.0,6.0,14.0,"136,137,248,266,364,376,418,492,624,764,1059,1634,1770,1788",0.8333333333333334,0.16666666666666663,0.8
10,56.0,6.0,14.0,"189,285,492,512,764,1057,1109,1352,1545,1667,1770,1872,1934,1959",0.8333333333333334,0.16666666666666663,0.6666666666666666
mean,55.8,6.2,14.0,,0.8380952380952381,0.16190476190476186,0.7233333333333334
std,0.4216370213557839,0.4216370213557839,0.0,,0.13031349683665902,0.13031349683665902,0.3030910713479765
