dataset,method,q,model,fold,AUC,PR_AUC,ΔAUC,ΔPR_AUC,AUC_base,PR_AUC_base,t_reducer,t_model,t_model_base,n_selected,selected_indices
DS-B,HSIC_Lasso,5,MLP,1,0.9405762770741947,0.8567854603393015,0.0031079198371021244,-0.012011759127044885,0.9374683572370925,0.8687972194663464,2.0632096719928086,4.379982964019291,3.9725935709429905,,
DS-B,HSIC_Lasso,5,HGBT,1,0.9170322137184541,0.8140050496798245,-0.04496321124616143,-0.09768611611607725,0.9619954249646155,0.9116911657959017,2.0632096719928086,0.2542754649184644,0.2488991169957444,,
DS-B,HSIC_Lasso,5,SVM_linear,1,0.7614662286261221,0.5464875982492405,-0.08419469399369528,-0.20034047648696007,0.8456609226198174,0.7468280747362006,2.0632096719928086,0.6381009579636157,1.7205298909684643,,
DS-B,HSIC_Lasso,5,SVM_rbf,1,0.9134180096748326,0.8149507031334935,-0.0015927627227002583,-0.04894113123289179,0.9150107723975328,0.8638918343663853,2.0632096719928086,0.659125605947338,0.9503464159788564,,
DS-B,HSIC_Lasso,5,KNN,1,0.8918196297842934,0.7395651508275003,0.0737123936156453,0.15419070921354938,0.8181072361686481,0.5853744416139509,2.0632096719928086,0.0015322359977290034,0.00026827596593648195,,
DS-B,HSIC_Lasso,5,GaussianNB,1,0.7674122964238597,0.5533844299793286,-0.033215200351812135,-0.05840691248156504,0.8006274967756718,0.6117913424608936,2.0632096719928086,0.0006243280367925763,0.0011171270161867142,,
DS-B,HSIC_Lasso,5,QDA,1,0.8586949693088297,0.7046898530082084,-0.06177036870054964,-0.1398824571295343,0.9204653380093794,0.8445723101377427,2.0632096719928086,0.0006312360055744648,0.0054409020813182,,
DS-B,HSIC_Lasso,5,ShrinkageLDA,1,0.7767582289661086,0.4991965607512532,-0.07647478372056049,-0.22353266448215448,0.8532330126866691,0.7227292252334077,2.0632096719928086,0.0017959799151867628,0.005151443998329341,,
DS-B,HSIC_Lasso,5,LogRegL2,1,0.775346545996105,0.5014394770079531,-0.07757973976252663,-0.23613106227463843,0.8529262857586316,0.7375705392825915,2.0632096719928086,0.055276141967624426,0.1395946020493284,,
DS-B,HSIC_Lasso,5,KDEBayes,1,0.9008754651717117,0.7928292617475964,0.17486391302259074,0.32984407288648065,0.7260115521491209,0.4629851888611157,2.0632096719928086,0.0016870700055733323,0.004976980970241129,,
