dataset,method,q,model,fold,AUC,PR_AUC,ΔAUC,ΔPR_AUC,AUC_base,PR_AUC_base,t_reducer,t_model,t_model_base,n_selected,selected_indices
DS-B,PCA,10,MLP,1,0.8442011980827719,0.6024148260353483,-0.0932671591543206,-0.266382393430998,0.9374683572370925,0.8687972194663464,0.0010144669795408845,12.932273607002571,3.934228686033748,,
DS-B,PCA,10,HGBT,1,0.8836470201294166,0.6931799747306782,-0.07834840483519889,-0.21851119106522354,0.9619954249646155,0.9116911657959017,0.0010144669795408845,0.21728444297332317,0.2961113969795406,,
DS-B,PCA,10,SVM_linear,1,0.7300026977187647,0.43147387094504175,-0.11565822490105271,-0.31535420379115886,0.8456609226198174,0.7468280747362006,0.0010144669795408845,0.9743404439650476,1.748305379995145,,
DS-B,PCA,10,SVM_rbf,1,0.8821983821078423,0.7002109728209513,-0.03281239028969052,-0.16368086154543393,0.9150107723975328,0.8638918343663853,0.0010144669795408845,0.8346500580664724,0.950486530084163,,
DS-B,PCA,10,KNN,1,0.7900361789954877,0.5042490744783301,-0.028071057173160385,-0.0811253671356208,0.8181072361686481,0.5853744416139509,0.0010144669795408845,0.002356693963520229,0.00026185496244579554,,
DS-B,PCA,10,GaussianNB,1,0.8059527197070203,0.5972632094316825,0.005325222931348517,-0.014528133029211077,0.8006274967756718,0.6117913424608936,0.0010144669795408845,0.0007910360582172871,0.001295540016144514,,
DS-B,PCA,10,QDA,1,0.8441198969693162,0.6300786836180876,-0.07634544104006313,-0.2144936265196551,0.9204653380093794,0.8445723101377427,0.0010144669795408845,0.0012276079505681992,0.005885084974579513,,
DS-B,PCA,10,ShrinkageLDA,1,0.7870354288079409,0.47091613291187456,-0.0661975838787282,-0.2518130923215331,0.8532330126866691,0.7227292252334077,0.0010144669795408845,0.0029793319990858436,0.003580247052013874,,
DS-B,PCA,10,LogRegL2,1,0.7815734721857803,0.46819322764172633,-0.07135281357285128,-0.2693773116408652,0.8529262857586316,0.7375705392825915,0.0010144669795408845,0.043591491994448006,0.1523771759821102,,
DS-B,PCA,10,KDEBayes,1,0.7780516557710856,0.5293403363392033,0.05204010362196465,0.06635514747808757,0.7260115521491209,0.4629851888611157,0.0010144669795408845,0.0025455630384385586,0.004310096963308752,,
